,Overall,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5
Seg_size,8950,4136,742,1697,601,1774
Seg_Pct,1,0.462122905,0.082905028,0.189608939,0.067150838,0.198212291
BALANCE,1541.046707,785.9560235,5759.15855,1048.1886,2879.24628,1555.329876
BALANCE_FREQUENCY,0.87808332,0.871380358,0.975909278,0.823185219,0.981324067,0.870333028
PURCHASES,936.2292369,862.768808,583.6974663,619.8812375,5533.176972,0.20210823
ONEOFF_PURCHASES,536.4937741,341.8017336,318.756186,619.9570477,3492.567251,0.174853439
INSTALLMENTS_PURCHASES,384.4983682,521.4242868,265.0304858,0,1810.230573,0.027254791
CASH_ADVANCE,935.9209722,246.9980264,5081.23541,490.8774321,614.8382714,1342.782067
PURCHASES_FREQUENCY,0.490350548,0.733531526,0.35160673,0.31461518,0.930018283,0.000572645
ONEOFF_PURCHASES_FREQUENCY,0.202457684,0.183857683,0.14856864,0.314369648,0.677885354,0.000241585
PURCHASES_INSTALLMENTS_FREQUENCY,0.364437342,0.633645687,0.2508136,0,0.755848012,0.00033106
CASH_ADVANCE_FREQUENCY,0.134016688,0.054391037,0.438382802,0.100354184,0.075862599,0.244257904
CASH_ADVANCE_TRX,3.079329609,1.145067698,12.29245283,2.113730112,2.009983361,5.021420519
PURCHASES_TRX,14.15138547,17.11873308,9.753396226,6.30466706,63.07450915,0.004509583
CREDIT_LIMIT,4474.25454,3803.92319,8921.15903,4036.968268,8451.913478,3247.867343
PAYMENTS,1649.420364,1113.193234,3765.85539,1156.046115,5320.031041,1242.802384
MINIMUM_PAYMENTS,747.4064713,543.8105613,2066.413333,524.8684185,1339.822256,682.5670022
PRC_FULL_PAYMENT,0.153714648,0.226635825,0.025488213,0.101391185,0.273191423,0.046910481
TENURE,11.51731844,11.58970019,11.53908356,11.46375958,11.83693844,11.28241263
Monthly_avg_pur,80.55655579,74.32898249,51.08324634,55.29555078,468.8282162,0.028425225
Monthly_cash_adv_amt,85.24844917,22.14016819,456.2771128,45.33800147,54.69480645,125.7238442
Limit_usage,0.385243375,0.279958154,0.672615743,0.357459585,0.354330841,0.547564061
Pay_ratio,5.522147068,4.993992507,3.722240442,5.132838443,12.85778942,5.393575285
Dumm__none,0.228156425,0,0.363881402,0,0,0.998872604
Dumm__only_oneoff,0.209385475,0,0.176549865,1,0.076539101,0
Dumm__only_purchase,0.252513966,0.511605416,0.163072776,0,0.036605657,0.000563698
